This is the menu data {'item_name': 'Follador Gold Prosecco (Bottle)', 'description': None, 'price': 3982.3, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Vigna Di Pllino Chianti D.O.C.G ( Bottle)', 'description': None, 'price': 5309.73, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Nere I.G.T Feudo Maccari (Bottle)', 'description': None, 'price': 4955.75, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Vina Pomal Crianza (Bottle)', 'description': None, 'price': 4601.76, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Vesper Merlot (Bottle)', 'description': None, 'price': 3805.3, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Extra Caramel 15ML', 'description': None, 'price': 79.64, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Nyef Event', 'description': None, 'price': 11053.09, 'group': 'Event', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Gorkha Craft combo', 'description': None, 'price': 1061.94, 'group': 'Beer', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Fruits', 'description': None, 'price': 35.39, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Yogurt', 'description': None, 'price': 88.49, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Extra Tuna', 'description': None, 'price': 221.23, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Tuborg 330 ml', 'description': None, 'price': 336.28, 'group': 'Beer', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Gorkha Premium', 'description': None, 'price': 575.22, 'group': 'Beer', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
